airport_iata,flights_counter
SAT,1
FLL,1
KOA,1
SMF,1
RIC,1
IND,1
MCI,1
MSN,1
BIL,1
ROC,1
CLT,1
DCA,1
PBI,1
MIA,1
MOB,1
SNA,2
LAS,2
ATL,2
CMH,2
SJC,2
LGA,2
TUS,2
SEA,3
PHX,3
SBN,3
MCO,4
PDX,4
BOS,4
DFW,4
SAN,4
BHM,4
CVG,4
ABQ,4
FAT,4
DLH,4
SLC,5
HNL,5
FSD,5
EWR,7
MOT,8
MSP,9
IAD,12
BNA,12
AZO,13
SFO,14
DEN,18
LAX,22
IAH,23
DTW,25
ORD,48
